yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2024,Q3,RWA,KEN,945705,1201,3.2929,30.1979,232,538,14175083,56135419,1327,140,17,36,6.29,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q4,RWA,KEN,812861,1201,3.8529,33.258,270,589,14249205,56428951,1366,141,31,52,6.99,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q1,RWA,UG,3020830,513,2.2399,7.4317,187,190,12009263,39120314,824,3596,43,77,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q2,RWA,UG,1837111,513,2.2989,7.6049,190,193,12082508,39453066,834,3613,47,95,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q3,RWA,UG,3250635,513,2.3092,8.7509,190,220,12156199,39788648,842,3600,44,136,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q4,RWA,UG,4914251,513,2.3330,7.8409,191,195,12230339,40127085,852,3621,47,90,14,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q1,RWA,UG,6337864,513,2.3621,8.1361,192,201,12310059,40499634,858,3616,48,92,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q2,RWA,UG,5267883,513,2.3701,8.2981,191,203,12383536,40835429,868,3756,46,93,21,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q3,RWA,UG,3558043,513,2.3776,9.0907,191,221,12457451,41174009,875,3761,45,115,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q4,RWA,UG,2742700,513,2.4155,8.5951,193,207,12531808,41515395,886,3743,46,98,20,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q1,RWA,UG,4846730,513,2.4049,8.7280,191,208,12611239,41876061,896,3694,45,92,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q2,RWA,UG,5002462,513,2.5913,8.9406,204,212,12685398,42230722,906,3745,51,89,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q3,RWA,UG,3297060,513,2.5685,10.2704,201,241,12759994,42588386,917,3688,44,88,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q4,RWA,UG,2781370,513,2.6372,9.8456,205,229,12835028,42949080,931,3689,46,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q1,RWA,UG,1391052,513,2.5405,9.1053,197,210,12912698,43355918,948,3706,41,98,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q2,RWA,UG,409820,513,2.2924,8.4268,176,193,12990121,43702701,949,3767,54,105,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q3,RWA,UG,873980,513,2.5490,10.5716,195,240,13068008,44052258,962,3690,48,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q4,RWA,UG,983768,513,2.6176,9.9973,199,225,13146362,44404611,983,3697,43,113,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q1,RWA,UG,1027148,513,2.6136,9.5650,198,214,13231822,44787780,990,3673,57,93,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q2,RWA,UG,791597,513,2.6819,10.4160,202,231,13308071,45140331,995,3572,45,108,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q3,RWA,UG,839712,513,2.7477,11.5194,205,253,13384758,45495656,1004,3538,44,73,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q4,RWA,UG,1291249,513,2.8978,11.1363,215,243,13461888,45853778,1011,3562,49,74,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q1,RWA,UG,1466301,513,4.0204,13.6409,299,296,13454747,46093547,1014,3557,68,51,5.41,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q2,RWA,UG,2371693,513,4.4584,12.5046,330,270,13525102,46334571,1021,3696,62,51,6.69,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q3,RWA,UG,4399831,513,3.7474,11.8638,276,255,13595825,46576854,1033,3834,48,20,2.87,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q4,RWA,UG,3920786,513,4.4199,13.598,323,290,13666917,46820404,1054,3748,18,27,1.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q1,RWA,UG,3806841,513,3.8677,15.235,282,324,13738381,47065228,1088,3724,23,42,5.77,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q2,RWA,UG,2640920,513,3.9669,14.0015,287,296,13810219,47311332,1128,3721,19,37,7.33,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q3,RWA,UG,3211379,513,3.4317,13.4381,247,283,13882433,47558723,1187,3695,17,35,6.98,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q4,RWA,UG,2928535,513,4.057,14.771,291,309,13955024,47807408,1238,3791,21,42,5.79,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q1,RWA,UG,3116944,513,3.5322,16.8137,252,350,14027995,48057393,1279,3870,22,37,6.94,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q2,RWA,UG,2253539,513,3.7731,15.4919,268,321,14101347,48308685,1300,3773,20,38,6.48,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q3,RWA,UG,4095190,513,3.2929,15.3886,232,317,14175083,48561291,1327,3702,17,36,6.29,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q4,RWA,UG,2944625,513,3.8529,16.5665,270,339,14249205,48815218,1366,3672,31,52,6.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q1,UG,KEN,83583279,688,7.4317,19.9780,190,415,39120314,48188271,3596,103,43,77,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q2,UG,KEN,221636694,688,7.6049,20.9154,193,432,39453066,48440240,3613,103,47,95,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q3,UG,KEN,159598621,688,8.7509,20.4307,220,420,39788648,48693526,3600,104,44,136,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q4,UG,KEN,229027900,688,7.8409,20.7195,195,423,40127085,48948137,3621,103,47,90,14,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q1,UG,KEN,262653318,688,8.1361,22.4538,201,456,40499634,49231724,3616,102,48,92,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q2,UG,KEN,190735504,688,8.2981,23.6403,203,478,40835429,49471085,3756,101,46,93,21,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q3,UG,KEN,174810843,688,9.0907,23.0850,221,464,41174009,49711610,3761,101,45,115,15,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2018,Q4,UG,KEN,101903610,688,8.5951,23.0613,207,462,41515395,49953304,3743,102,46,98,20,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q1,UG,KEN,86218192,688,8.7280,24.6610,208,491,41876061,50201420,3694,101,45,92,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q2,UG,KEN,171433178,688,8.9406,25.6314,212,508,42230722,50450195,3745,101,51,89,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q3,UG,KEN,138458425,688,10.2704,24.8063,241,489,42588386,50700203,3688,103,44,88,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q4,UG,KEN,143795948,688,9.8456,25.3330,229,497,42949080,50951450,3689,102,46,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q1,UG,KEN,130577288,688,9.1053,26.9232,210,526,43355918,51211110,3706,102,41,98,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q2,UG,KEN,84474123,688,8.4268,24.5521,193,477,43702701,51468042,3767,106,54,105,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q3,UG,KEN,127162495,688,10.5716,23.5359,240,455,44052258,51726263,3690,108,48,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q4,UG,KEN,147322771,688,9.9973,25.7673,225,496,44404611,51985780,3697,109,43,113,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q1,UG,KEN,158672406,688,9.5650,26.9973,214,516,44787780,52276094,3673,110,57,93,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q2,UG,KEN,156314959,688,10.4160,28.2774,231,538,45140331,52518145,3572,108,45,108,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q3,UG,KEN,162532738,688,11.5194,26.9979,253,512,45495656,52761316,3538,109,44,73,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q4,UG,KEN,146284847,688,11.1363,28.0614,243,529,45853778,53005614,3562,112,49,74,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q1,UG,KEN,177450323,688,13.6409,25.5882,296,480,46093547,53282780,3557,119,68,51,5.41,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q2,UG,KEN,184055332,688,12.5046,26.3049,270,491,46334571,53561396,3696,123,62,51,6.69,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q3,UG,KEN,160850443,688,11.8638,25.7159,255,478,46576854,53841468,3834,126,48,20,2.87,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q4,UG,KEN,215545241,688,13.598,26.9805,290,499,46820404,54123005,3748,128,18,27,1.99,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q1,UG,KEN,237187437,688,15.235,29.0096,324,533,47065228,54406014,3724,130,23,42,5.77,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q2,UG,KEN,222001658,688,14.0015,29.4666,296,539,47311332,54690503,3721,133,19,37,7.33,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q3,UG,KEN,195444087,688,13.4381,28.1027,283,511,47558723,54976480,3695,135,17,35,6.98,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q4,UG,KEN,184568332,688,14.771,29.9815,309,543,47807408,55263952,3791,137,21,42,5.79,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q1,UG,KEN,186635898,688,16.8137,30.9074,350,556,48057393,55552927,3870,138,22,37,6.94,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q2,UG,KEN,173432558,688,15.4919,31.4302,321,563,48308685,55843414,3773,139,20,38,6.48,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q3,UG,KEN,175630822,688,15.3886,30.1979,317,538,48561291,56135419,3702,140,17,36,6.29,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q4,UG,KEN,177034528,688,16.5665,33.258,339,589,48815218,56428951,3672,141,31,52,6.99,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q1,UG,RWA,53224957,513,7.4317,2.2399,190,187,39120314,12009263,3596,824,43,77,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q2,UG,RWA,46084422,513,7.6049,2.2989,193,190,39453066,12082508,3613,834,47,95,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q3,UG,RWA,59165123,513,8.7509,2.3092,220,190,39788648,12156199,3600,842,44,136,13,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2017,Q4,UG,RWA,62119864,513,7.8409,2.3330,195,191,40127085,12230339,3621,852,47,90,14,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q1,UG,RWA,66297391,513,8.1361,2.3621,201,192,40499634,12310059,3616,858,48,92,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q2,UG,RWA,64929274,513,8.2981,2.3701,203,191,40835429,12383536,3756,868,46,93,21,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q3,UG,RWA,69519828,513,9.0907,2.3776,221,191,41174009,12457451,3761,875,45,115,15,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2018,Q4,UG,RWA,60355392,513,8.5951,2.4155,207,193,41515395,12531808,3743,886,46,98,20,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q1,UG,RWA,38100556,513,8.7280,2.4049,208,191,41876061,12611239,3694,896,45,92,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q2,UG,RWA,4707289,513,8.9406,2.5913,212,204,42230722,12685398,3745,906,51,89,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q3,UG,RWA,4763602,513,10.2704,2.5685,241,201,42588386,12759994,3688,917,44,88,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2019,Q4,UG,RWA,5350088,513,9.8456,2.6372,229,205,42949080,12835028,3689,931,46,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q1,UG,RWA,875505,513,9.1053,2.5405,210,197,43355918,12912698,3706,948,41,98,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q2,UG,RWA,306299,513,8.4268,2.2924,193,176,43702701,12990121,3767,949,54,105,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q3,UG,RWA,524243,513,10.5716,2.5490,240,195,44052258,13068008,3690,962,48,110,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2020,Q4,UG,RWA,898637,513,9.9973,2.6176,225,199,44404611,13146362,3697,983,43,113,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q1,UG,RWA,820659,513,9.5650,2.6136,214,198,44787780,13231822,3673,990,57,93,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q2,UG,RWA,1147036,513,10.4160,2.6819,231,202,45140331,13308071,3572,995,45,108,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q3,UG,RWA,529524,513,11.5194,2.7477,253,205,45495656,13384758,3538,1004,44,73,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2021,Q4,UG,RWA,385349,513,11.1363,2.8978,243,215,45853778,13461888,3562,1011,49,74,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q1,UG,RWA,419180,513,13.6409,4.0204,296,299,46093547,13454747,3557,1014,68,51,5.41,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q2,UG,RWA,751289,513,12.5046,4.4584,270,330,46334571,13525102,3696,1021,62,51,6.69,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q3,UG,RWA,17767307,513,11.8638,3.7474,255,276,46576854,13595825,3834,1033,48,20,2.87,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2022,Q4,UG,RWA,64707725,513,13.598,4.4199,290,323,46820404,13666917,3748,1054,18,27,1.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q1,UG,RWA,70552092,513,15.235,3.8677,324,282,47065228,13738381,3724,1088,23,42,5.77,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q2,UG,RWA,60397275,513,14.0015,3.9669,296,287,47311332,13810219,3721,1128,19,37,7.33,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q3,UG,RWA,77527206,513,13.4381,3.4317,283,247,47558723,13882433,3695,1187,17,35,6.98,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2023,Q4,UG,RWA,87351777,513,14.771,4.057,309,291,47807408,13955024,3791,1238,21,42,5.79,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q1,UG,RWA,69500722,513,16.8137,3.5322,350,252,48057393,14027995,3870,1279,22,37,6.94,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q2,UG,RWA,67235238,513,15.4919,3.7731,321,268,48308685,14101347,3773,1300,20,38,6.48,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q3,UG,RWA,76016927,513,15.3886,3.2929,317,232,48561291,14175083,3702,1327,17,36,6.29,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,
2024,Q4,UG,RWA,74450451,513,16.5665,3.8529,339,270,48815218,14249205,3672,1366,31,52,6.99,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,